Full_Address,lat,long,min_dist_mrt,min_dist_mall,cbd_dist
Block 32 NEW MKT RD,1.2850751,103.8425488,132.4424652711016,86.10901042571851,1000.6001536944968
Block 707 PASIR RIS DR 10,1.3813090000000001,103.93855390000002,1496.3018848013826,496.68071150739956,14576.033263278117
Block 102 C'WEALTH CRES,1.3078718,103.8006613,624.5696144454072,615.1049156179037,6270.888949777698
Block 406 ANG MO KIO AVE 10,1.3620328000000002,103.8538267,1001.75213813839,1021.7780603008777,8743.564251796632
Block 108 ANG MO KIO AVE 4,1.3709152,103.8382463,1266.025955754726,870.378961332288,9829.162059025255
Block 602 ANG MO KIO AVE 5,1.3807151000000002,103.8353025,1076.9158001365975,1535.1468546362464,10950.530864743178
Block 465 ANG MO KIO AVE 10,1.3662627,103.85699740000001,923.5781726190341,923.1568586032987,9228.570095117484
Block 601 ANG MO KIO AVE 5,1.380965,103.834765,1133.9127405230524,1599.063197860039,10987.656518807446
Block 150 ANG MO KIO AVE 5,1.3767561000000001,103.84177890000001,655.124951398457,709.3201382754096,10421.078235759396
Block 447 ANG MO KIO AVE 10,1.3675144,103.8559103,756.3821283552201,860.0564293397001,9359.243058110591
Block 218 ANG MO KIO AVE 1,1.3651811000000003,103.84159770000001,1038.0762324501304,894.4527076958193,9151.090436245137
Block 571 ANG MO KIO AVE 3,1.3701286,103.8547614,575.8506688218805,706.4065175027074,9641.93200258448
Block 534 ANG MO KIO AVE 10,1.3741187,103.85409849999999,675.9208264814675,768.7317664258333,10080.251093502618
Block 233 ANG MO KIO AVE 3,1.3675541000000002,103.83670649999999,1459.359624647683,1142.694385252612,9489.572009348749
Block 235 ANG MO KIO AVE 3,1.3669343,103.8362083,1527.7156087366525,1222.6262021306052,9431.771494365179
Block 219 ANG MO KIO AVE 1,1.3659933000000002,103.8405108,1104.179365393851,898.2354981152557,9255.192595424392
Block 536 ANG MO KIO AVE 10,1.374484,103.8542797,718.136717848123,802.272499256152,10121.265535975794
Block 230 ANG MO KIO AVE 3,1.3688658999999999,103.837884,1308.8043224998135,965.3647226607249,9611.289025386874
